# I am a comment line. Either hex format works, prefixed or non prefixed.
# 0xdeadbeef,a\dead\beef
# deadc0de,a\dead\code
0xdcea6e38d4b0e65,core/stingray_renderer/shader_libraries/default_shaders
0xc620875fa6b0ed0,content/env_super_earth/terrain_materials/textures_packed/superearth_grass_nms
0xdcff5379542c0f24,content/planet_forest_moor/assets/terrain_materials/textures_packed/moor_generic_dirt_displacement
0xe9a5e5e12fd10f52,content/audio/wep_sickle
0xa76c116e019b0f4f,content/effects/textures/lens_flares/lens_flare_sun_01
0xa39a0c45f1be0fc2,core/stingray_renderer/shader_libraries/water
0x495cd5b6043a104d,packages/fallback_resources
0xb3c4dfbaa4df10ec,content/planet_desert_savanna/assets/terrain_materials/textures_packed/savanna_super_earth_road_nms
0x4be37f8375611138,core/fallback_resources/missing_material
0xc4e5ffe12ae3112e,content/audio/env_ship
0xe8c11893567d1190,content/audio/bugs_hunter
0x3260c9dbb5d912a0,content/audio/foley_bots
0x40e7270f9fca1313,core/stingray_renderer/shader_libraries/atmosphere
0x7cd220df3b191396,content/audio/foley_npcs
0xdb9ae41a71a813e4,content/audio/obj_briefcase
0x2c4563b6bfa113df,core/stingray_renderer/shader_libraries/multi_res_blending
0xed199135cb04140e,core/stingray_renderer/shading_environment_components/space_probe_backdrop
0x1f9198b286211427,content/planet_desert_sandy/assets/variation_moon/terrain_materials/textures_packed/sandy_sand_trampled_displacement
0xc3e1754608c5144d,content/audio/bots_dropship
0x5dcdde1abcbe14ff,content/audio/haz_explosivemushroom
0x16d638b386491505,content/audio/bugs_bilespewer
0x7c763e4de74815e3,core/units/light
0x52071f49263415e4,content/fac_super_earth/equipment/support_weapons/shotgun_doublebarrel/shotgun_doublebarrel
0xe5ae77acabd616e3,content/objectives/obj_common/icbm_silo/decals/m_rocket_decal_05
0x565d859d64b41754,content/audio/us/Tutorial_Dummy_VO
0xac34b14c394b176b,content/audio/obj_raise_flag
0x79f6761be6f61772,core/stingray_renderer/helper_units/decals/decal
0x56a758e047001789,core/stingray_renderer/shading_environment_components/fog
0x6906ba0515f518d7,core/stingray_renderer/entities/reflection_probe/probe
0x4548e796b4a61947,content/audio/wep_flamethrower
0x218d319996ec197b,core/stingray_renderer/shading_environment_components/render_utility
0x6e499c5c95b019fc,content/objectives/obj_cyborgs/cyborg_command_bunker/cyborg_command_bunker
0x25a020f2c2a31a89,content/audio/us/Radio_Shuttle_Pilot_VO
0xd2c617c603de1b92,content/audio/obj_hellbomb
0xbc205f7eefc51bda,content/audio/obj_dropship
0xb8d048ea1f801be8,core/stingray_renderer/shader_libraries/missing_billboard
0x42debe5a6f371c4d,content/audio/us/Radio_Objective_Pilot_VO
0x508410d07cea1d12,content/audio/vo_illuminate
0x17ae602e9d881e51,content/audio/obj_extract_civilians
0x1a9ad62066911e53,core/stingray_renderer/shading_environment_components/volumetric_clouds
0x2cd28fa356481e96,content/env_shared/assets/terrain_materials/textures/neutral_illuminate_stone_nms
0x5b15a56781801eaf,content/audio/vo_speakers
0x5d62cb3ed22e1ecc,content/env_super_earth/habs/props/vending_machine_freedom_01
0x1c433ada8f541f06,content/objectives/obj_common/icbm_silo/decals/m_rocket_decal_02
0x1f3dded72f281f78,content/planet_desert_sandy/assets/terrain_materials/textures_packed/sandy_bot_road_nms
0xffc6591541702038,core/stingray_renderer/shading_environment_components/exposure
0xc14e0e887e7d2106,content/fac_bugs/cha_scavenger/cha_scavenger
0xc0072e76a09b211b,content/audio/env_bugs
0x82847c090ef02160,content/levels/ship_hub-cubemaps/reflection_cube_specular_showroom
0x236480d70693216d,content/audio/bots_gunship
0xc553c951a7be2327,content/audio/wep_ar19_liberator
0x3efb957b37252438,core/fallback_resources/missing_particles
0x4cd4bafb3d812437,core/stingray_renderer/shading_environment_components/dof_circular
0x5b228d68ec3b24f7,content/art_shared/textures/dof_weights
0x4e75e3d9afc5254b,content/planet_forest_primordial/assets/terrain_materials/textures_packed/primordial_shore_sand_displacement
0x5cfdb395fcc92555,content/env_shared_arctic/assets/terrain_materials/textures_packed/arctic_pebbles_heavy_displacement
0xbd30758426ed2566,content/env_shared/assets/samples/blacksaffron_sample_01/blacksaffron_sample_01
0x785dbb37a132264c,content/planet_desert_savanna/assets/terrain_materials/textures_packed/savanna_grass_tall_albedo
0x7073df2c53bd2693,content/env_shared_arctic/assets/terrain_materials/textures_packed/arctic_rock_displacement
0x37cde43876ba26bb,content/fac_helldivers/hellpod/turret_machinegun_gpmg/turret_machinegun_gpmg
0x8b232bacf26726e4,content/audio/bugs_biletitan
0xfafd5068df5226ea,content/audio/bugs_charger
0x78796ae20bb32759,core/wwise/lua/wwise_preview
0x328d00e8f372276f,content/audio/tutorial
0x2620daeb054127a0,content/planet_desert_sandy/assets/terrain_materials/textures_packed/sandy_generic_rock_displacement
0x328b80847f5727a2,content/levels/ship_hub-cubemaps/reflection_probe_radiance_bake
0x3d6bff95731827c4,content/planet_desert_rocky/assets/terrain_materials/textures_packed/rocky_pebbles_small_albedo
0xaa3e3b119f562804,content/audio/gp_31_grenade_pistol
0x8528ddc343e2806,core/fallback_resources/missing_unit
0x89f7b44d92d2285e,core/fallback_resources/missing_texture
0xd54b9505c0f72873,content/fac_helldivers/equipment/support_weapons/laser_cannon/laser_cannon
0x5116d9ea96b72aa3,content/planet_desert_sandy/assets/terrain_materials/textures_packed/sandy_small_pebbles_displacement
0x14882d6beeb42b4b,content/audio/env_primordial
0x5e63531ef32f2b7f,core/stingray_renderer/lookup_tables/ibl_brdf_lut
0x22551074d2f42bb4,content/planet_desert_sandy/assets/terrain_materials/textures_packed/sandy_weathering_albedo_graded
0x5a072e1b08042c05,core/performance_hud/performance_hud
0xeea5e3cef1e12c14,content/fac_helldivers/equipment/primary_weapons/plasma_rifle/plasma_rifle
0xaba3e77cd3022d1d,content/env_shared_arctic/assets/weathering/arctic_weathering_mask
0x363479c84dd02d38,content/env_shared/assets/terrain_materials/textures/neutral_dirt_nms
0xeae962d85c0c2d4a,content/objectives/obj_common/oil_pump/oil_pump
0x3568c83e43422e29,content/env_super_earth/terrain_materials/textures_packed/superearth_grass_tall_albedo
0x1ebb48d95ce2e53,core/stingray_renderer/shading_environment_components/showroom_probe_override
0xf4509d314942e8f,core/stingray_renderer/shader_libraries/baker_filtering
0xaaa83c43eb3c2fab,content/env_shared_forest/assets/terrain_materials/textures_packed/forest_grass_albedo
0x6d3c4720e642fc1,content/objectives/obj_bugs/eggsack/embryo_01
0xaf42a738b84230cc,content/env_super_earth/tutorial/weapon_dispenser/weapon_dispenser
0x4e401cc877093220,content/fac_helldivers/vehicles/eagle/eagle
0xf100895c73af3223,content/env_shared/assets/terrain_materials/textures/generic_bug_acid_displacement
0x36b835f98bdf3245,content/audio/wep_mg43
0x8a996253ac373252,content/objectives/obj_common/icbm_silo/decals/m_rocket_decal_0
0xa6a735accb4a327f,content/fac_helldivers/equipment/primary_weapons/lmg_stalwart/lmg_stalwart
0xeffb18a5c71a32c1,content/audio/wep_grenade_launcher
0x7b4ef100dd15330e,content/fac_super_earth/vehicles/colony_rover/colony_rover
0x29ab9c532198337c,content/env_shared_arctic/assets/terrain_materials/textures_packed/arctic_pebbles_small_displacement
0xa1bdb3a13e3633dd,content/objectives/obj_common/sam_site/sam_site
0x1407f2ba92a3514,core/renderables/light
0x59b6f4d72cf135b4,content/env_super_earth/terrain_materials/textures_packed/superearth_grass_albedo
0xd56d3d1ac58f35be,content/planet_desert_rocky/assets/terrain_materials/textures_packed/rocky_seaweed_puddles_albedo
0x64090088502435dd,content/fac_bugs/cha_shrieker/cha_shrieker
0xa441ca86ac27360b,content/fallback_resources/missing_unit
0x95686275a113614,content/env_bugs/assets/gameplay/bug_spawner_shrieker
0x967ed15e0bae363b,content/fac_helldivers/equipment/backpacks/ballistic_shield_backpack/ballistic_shield_backpack
0x405896b911013778,core/animation/lua/runtime/animationrequires
0x238300244f3737c4,content/env_shared_forest/assets/terrain_materials/textures_packed/forest_grass_tall_nms
0x178ad8b654b837ca,content/env_shared/assets/terrain_materials/textures/neutral_bot_gravel_displacement
0x88632b218d083889,content/planet_desert_sandy/assets/terrain_materials/textures_packed/sandy_weathering_nar
0xefc5a00464ed3896,content/audio/stratagems
0x2599d82eb7a939a0,content/effects/textures/clouds/cloud_master_atlas_sss_01
0x491270223da83a4f,content/audio/rev_ship_hub
0x731a7b74bebc3a99,content/audio/obj_satellite_relay
0x9ba626afa44a3aa3,packages/boot
0xd367351049e23b33,content/audio/us/Radio_Extraction_Pilot_VO
0x314f6e757513bd0,content/objectives/obj_common/icbm_silo/decals/m_rocket_decal_03
0xb1fa39681dc93bed,content/planet_forest_moor/assets/variation_arid/terrain_materials/texture_packed/moor_field_heather_displacement
0x57583d558f3c27,content/planet_desert_rocky/assets/terrain_materials/textures_packed/rocky_pebbles_heavy_albedo
0xb977e4f7e61f3c97,core/editor_slave/resources/level_resources/reflection_probe_diffuse_bake
0x1aa15480361c3d5f,content/audio/obj_antiairgun
0xd7f2254760893df2,core/stingray_renderer/shading_environment_components/water_surface
0x9bc592e8aea23e1f,content/fac_illuminate/cha_ghoul/cha_ghoul
0xc1ef7f5bd4643ecd,rendering/shader_libraries/utilities
0x10081acef6163ef6,content/fac_bugs/cha_warrior_acid/cha_warrior_acid
0xd9a52221fe6e3f8c,core/stingray_renderer/environments/midday/specular_cube
0xf0d5f3fbdfbe3fde,core/stingray_renderer/shading_environment_components/dof
0x7141801193c5401b,content/levels/lighting/editor_testing/reflection_probe_diffuse_bake
0x205aab37d4a6406f,content/env_shared/assets/terrain_materials/textures/neutral_bug_mycellium_displacement
0x38a17de0ea204082,core/stingray_renderer/shading_environment_components/snow_resources
0x9f09b0185b47408f,core/stingray_renderer/environments/midday/midday
0x97af34fbf093409c,content/fac_helldivers/discoverables/grenade_box_discoverable_01/grenade_box_discoverable_01
0xa3f130ed14cf40c3,content/env_ship/bridge/bridge_ship_video_system
0x700e9500e95541bf,content/env_shared/assets/samples/tech_sample_01/tech_sample_01
0x17f8b366af141f8,content/audio/us/helldiver_soldier_male1_VO
0x947b9d7d0d75420a,core/stingray_renderer/environments/midday/diffuse_cube
0x89c5493e08ca4207,content/fac_helldivers/equipment/support_weapons/sniper_rifle/sniper_rifle
0xf540ca9d9d4a422e,content/fac_bugs/cha_stalker/cha_stalker
0x9579d47b23904246,content/fac_super_earth/bridge_personnel/generic_human/generic_human
0x86f3cb87d97942b4,content/env_shared_forest/assets/samples/plant_sample_01
0x47b52d27d6d842ee,core/stingray_renderer/shading_environment_components/global_lighting
0xc87b0202049c4384,content/audio/foley_player_surface_media_rubber
0xd522fd4748d443a5,content/fac_bugs/cha_warrior_big/cha_warrior_big
0xec81b47c8ad14471,core/stingray_renderer/shaders/deferred_reflection_box
0x45e24cc9afbd4483,content/env_shared/assets/terrain_materials/textures/neutral_pebbles_small_nms
0x5e4e5c2db6e44a2,content/fac_helldivers/equipment/sidearm_weapons/standard_pistol/standard_pistol
0x9cff058eb4c144de,content/env_shared_forest/assets/terrain_materials/textures_packed/forest_pebbles_small_albedo
0xb9f56ab1115b44ee,content/env_super_earth/habs/props/warning_lamp_01
0xc0ed8aedbeb3456c,core/stingray_renderer/shading_environment_components/ssgi
0x4542ea2278d8458a,content/env_super_earth/military_base/utilities/utilities_speakers_01
0xb4d6f2f83bde45a9,content/env_shared_arctic/assets/samples/crystal_sample_01
0x79e4b3d2da5e45e3,content/fac_helldivers/vehicles/combat_walker/combat_walker
0xc7b3521827054657,content/env_shared_forest/assets/terrain_materials/textures_packed/forest_pebbles_small_nms
0x909318b942004786,content/planet_forest_swamp/assets/terrain_materials/textures_packed/swamp_leaves_albedo
0xda40bb347c7447f2,content/fac_illuminate/cha_illuminate_guy_staff/cha_illuminate_guy_staff
0x7251fdd9bb62480a,core/wwise/lua/wwise_flow_callbacks
0x40abf95d2ead4820,content/audio/env_forest
0x35005d49c040484f,content/planet_desert_sandy/assets/variation_moon/terrain_materials/textures_packed/sandy_sand_windblown_displacement
0xbb0859d5be8a4909,content/audio/music
0xf830c7ebc2664934,content/env_shared/assets/terrain_materials/textures/neutral_illuminate_lava_albedo
0xcf6bc538ebf24999,content/level_generation_settings/env_shared/weather_settings/volumetric_clouds/clear_day_01
0xad972a2e815a49aa,content/env_shared/assets/samples/crystalized_e710_sample_01/crystalized_e710_sample_01
0x3f217e1339f49e3,content/planet_forest_moor/assets/terrain_materials/textures_packed/moor_pebbles_heavy_displacement
0x68e8af7a878649e6,content/audio/obj_missile_silo
0x5c3fbb6000f64a1f,content/levels/lighting/desert/desert_day-cubemaps/reflection_probe_radiance_bake
0x49119612eb284a48,content/fac_helldivers/hellpod/ammo_rack/ammo_box
0x2b5d3186ee3a4a84,content/env_bugs/assets/samples/bug_egg_super_sample_01
0x1fa2723f8b384b67,content/env_shared_forest/assets/weathering/forest_weathering_albedo_graded
0x384fc16e5c534c42,content/level_generation_settings/env_shared/weather_settings/high_altitude_clouds/cirrus_01
0xc7d8199974204c7c,content/fallback_resources/missing_speedtree
0xd7d5a09807e94cba,content/audio/las_7
0x7cce38d67c414d9c,content/art_shared/textures/customization/debug/debug_array
0xa33c48ba9bd34e35,content/planet_desert_sandy/assets/terrain_materials/textures_packed/sandy_road_displacement
0x7a3637cd33a54e4c,content/fac_super_earth/cha_seaf/cha_seaf
0xbf240c9647114e78,content/planet_forest_primordial/assets/terrain_materials/textures_packed/primordial_field_grass_displacement
0x64ba5f030b114ec1,content/fac_cyborgs/cha_conscript/cha_conscript_tier_2
0x63dfb111f2e04ef3,core/stingray_renderer/shading_environment_components/volumetric_clouds_shadows
0x9644ce7ba2fa4f84,core/stingray_renderer/lookup_tables/noise_array
0xc71744b345fc4f8f,content/audio/us/Shiphub_Hellbot_VO
0x59824b5fb2644ffe,content/planet_forest_primordial/assets/terrain_materials/textures_packed/primordial_pebbles_heavy_displacement
0xe2798938daf5023,content/fallback_resources/missing_level
0x9360e6144f9f50ff,content/levels/lighting/editor_testing/reflection_probe_specular_bake
0x4ec09b52e4bb514b,content/env_shared/assets/terrain_materials/textures/neutral_illuminate_lava_nms
0x99cb7f36f9a951f9,content/objectives/obj_cyborgs/cyborg_orbital_cannon/cy_fleet_ship_01
0xc7f14b52fee55219,core/stingray_renderer/shading_environment_components/cloud_shadows
0x4a371a467b78521f,content/planet_desert_rocky/assets/terrain_materials/textures_packed/rocky_grass_albedo
0x64b49b9d8a445266,content/env_shared/assets/samples/bio_sample_01/bio_sample_01
0x87c3ef10c9cb527b,content/audio/gore_player
0xb545cf1a7b1b5289,content/planet_desert_savanna/assets/terrain_materials/textures_packed/savanna_road_albedo
0x769533b3827352b5,content/env_bugs/assets/samples/bug_intel_sample_01
0x5b4c2833bad252c1,content/audio/Helldiver_IR
0xb8a49f22d83d52cf,content/objectives/obj_common/icbm_silo/icbm_lock
0xc2895dabdfed534f,content/audio/plas_3_plasma_pistol
0xef7edbdaf20d53b5,content/audio/env_swamp
0xf59bc744c6f2541d,content/env_shared/assets/terrain_materials/textures/neutral_bot_dirt_displacement
0xaa28caf964d05500,content/env_bugs/assets/gameplay/bug_fog_generator
0xca397a8610af550a,content/env_super_earth/military_base/super_earth_cache/super_earth_cache_lid
0x581ce6fd20545509,content/audio/wep_sar1_sniper
0xa2986b0093535545,content/env_shared/assets/terrain_materials/textures/neutral_bug_cement_displacement
0xdf32cc7ac96d5574,content/audio/env_arctic
0x61fc13f337d55597,content/audio/us/Tutorial_Facility_Operator_VO
0x13846194c94a55eb,content/objectives/obj_common/icbm_silo/decals/m_rocket_decal_07
0xee87db219365568d,core/stingray_renderer/shader_libraries/cubemap
0x25dca50c27b156e3,content/art_shared/textures/ripples_tiler
0x80d2f1615c2656ef,content/env_shared/assets/terrain_materials/textures/neutral_illuminate_sand_albedo
0xc3250a8d4c135741,content/env_shared_forest/assets/terrain_materials/textures_packed/forest_pebbles_heavy_nms
0x17b6b1014d1b5822,core/stingray_renderer/environments/env_materials
0x907511e3981e58b2,content/audio/obj_larvae
0x1abc965dbe785908,content/env_shared_arctic/assets/terrain_materials/textures_packed/arctic_dirt_displacement
0x58d4647a85665921,content/env_shared_forest/assets/terrain_materials/textures_packed/forest_grass_tall_albedo
0x3c4fb8360807599d,content/planet_forest_swamp/assets/terrain_materials/textures_packed/swamp_roots_albedo
0x1bbe57cfa6085a08,content/audio/env_illuminate
0x8fd44db98bf25a68,core/stingray_renderer/shading_environment_components/vignette
0x372481e910c05a76,content/objectives/obj_common/shoulder_mounted_camera/shoulder_mounted_camera
0xc12a34f375bd5a87,content/fac_helldivers/equipment/primary_weapons/assault_shotgun_incendiary/assault_shotgun_incendiary
0x996f9f9a6145abd,content/env_shared_arctic/assets/terrain_materials/textures_packed/snowy_forest_marshlands_albedo
0x45d67bab7d655ace,content/audio/wep_sg8_punisher
0xc0df2a134bd15ad5,content/fac_illuminate/equipment/shield_forcefield/shield_forcefield_outcast
0x4d19345d84e25beb,content/audio/weapons_superearth
0x184382fd95d95c3c,content/audio/us/Tutorial_Instructor_VO
0xa8cffb316f0b5c5f,content/fac_helldivers/equipment/support_weapons/automatic_cannon/automatic_cannon
0x5e9d14eacac05c6b,content/planet_desert_savanna/assets/terrain_materials/textures_packed/savanna_mud_default_albedo
0x69ab71a8c3d45c9f,content/audio/foley_player_surface_media_metal
0xbb1d24f6ea0a5d13,core/units/primitives/cube_primitive
0x7f8d7a0a6af85d4c,content/audio/bots_hulk
0x1070e80ecd2d5db6,content/env_super_earth/military_base/rocket_walkway/rocket_walkway
0x5c13870b7f685dcf,content/planet_desert_sandy/assets/variation_mineral/terrain_materials/textures_packed/sandy_sand_windblown_displacement
0x1db0d84752225e90,content/planet_forest_primordial/assets/terrain_materials/textures_packed/primordial_shore_reef_displacement
0x282a83b418f65f93,content/objectives/obj_cyborgs/cyborg_remains_backpack/cy_remains_backpack
0x6b202392f4ab605e,content/fac_bugs/cha_charger_acid/cha_charger_acid
0x4a907aad75446126,content/env_shared_arctic/assets/textures/snow_pnrb_array_lowres
0x9c0726c7a8e7614d,rendering/shader_libraries/minimap
0xa478d36a62a861f4,content/fac_bugs/cha_hunter/cha_hunter
0xcf8138d14f4f6289,content/planet_forest_primordial/assets/terrain_materials/textures_packed/primordial_generic_dirt_displacement
0x10ca31f4d1ba6289,content/fac_bugs/cha_scavenger/cha_scavenger_predator
0x85d72b989ffe628c,content/objectives/obj_common/icbm_silo/decals/m_rocket_decal_06
0x608ca8ebee0062df,content/audio/env_shared
0x4264a63154886321,content/env_ship/bridge/hellpod_delivery_system
0x27ee1ed8f6fb6356,content/fac_helldivers/equipment/primary_weapons/laser_rifle/laser_rifle
0x66b7a4732ed263c8,core/stingray_renderer/shading_environment_components/hologram_drop_select_variables
0x6607fe6c0a6e6402,core/stingray_renderer/shading_environment_components/hologram_variables
0xa414300f48e9649d,content/audio/foley_player_surface_media_grass
0x1a7fcdff98c664b0,content/fac_bugs/cha_charger/cha_charger
0xa1f8081151db6531,content/planet_forest_moor/assets/variation_red/terrain_materials/textures_packed/moor_redgrass_02_displacement
0x3bed834d7c3d6561,rendering/performance_hud
0xf273b21e3d0565a5,content/audio/us/Shiphub_Service_Technician_VO
0xd33757749d4765e8,content/audio/bugs_stalker
0x609eeac0d17265fc,content/fac_illuminate/cha_ghoul/cha_ghoul_tier_2
0x65ca7ad0a586619,content/env_shared/assets/terrain_materials/textures/neutral_rock_nms
0x6c91a47b88d26638,content/audio/us/helldiver_purist_VO
0xd6a5a6d11cf6689,core/stingray_renderer/shaders/particle_default
0xca79f8e816936790,content/audio/foley_player_surface_media_mud_water
0xe3618e70561e67eb,content/objectives/obj_common/icbm_silo/decals/m_rocket_decal_09
0xdf612e48512b6811,content/audio/obj_ammodepot
0x62edf246c74d6929,content/planet_desert_savanna/assets/terrain_materials/textures_packed/savanna_dirt_cracked_albedo
0xef9dffb3686269a4,content/env_shared/assets/terrain_materials/textures/neutral_scorch_displacement
0x91a1cd28100d6a82,content/art_shared/textures/glitter_tiler
0x6236beb467a66ab2,core/stingray_renderer/shading_environment_components/concussion
0xc4cc63cf02226ade,content/planet_forest_moor/assets/terrain_materials/textures_packed/moor_shore_displacement
0x8a8ed5f4884c6b1c,content/planet_desert_savanna/assets/terrain_materials/textures_packed/savanna_dirt_cracked_nms
0xbe39e313a1e46bb9,content/fac_bugs/cha_warrior/cha_warrior_tier_1
0xf886d6784c8c6bbe,content/planet_forest_moor/assets/variation_arid/terrain_materials/texture_packed/moor_arid_dry_mud_small_displacement
0xd3fbafc82df76c56,content/audio/vo_objects
0x89de994dc1ee6c77,content/audio/foley_player_surface_media_dirt
0x7bf118c595fe6d09,content/fac_illuminate/cha_outcast_melee/cha_outcast_melee
0xbd7cb651444a6d28,content/audio/obj_servers
0xa4416f7635886d3b,content/planet_forest_primordial/assets/terrain_materials/textures_packed/primordial_forest_road_displacement
0x9872e66d1276e1f,content/fac_bugs/cha_warrior/cha_warrior
0xd0444f56a7d86e2b,content/objectives/obj_common/generator/generator
0x54efab3a08a46edc,content/audio/wep_smg45_defender
0x476d5dd5719a6efd,content/planet_desert_savanna/assets/terrain_materials/textures_packed/savanna_grass_albedo
0x39ff099af9a96f1b,content/env_super_earth/habs/props/vending_machine_democracy_01
0x9079001ca87f6f31,core/stingray_renderer/shading_environment_components/volumetric_clouds_lighting
0x300abd1d58d16f58,content/planet_desert_sandy/assets/terrain_materials/textures_packed/sandy_sand_windblown_displacement
0xae63e525853d7044,content/fac_cyborgs/cha_soldier/cha_soldier
0xea28538157870ad,core/stingray_renderer/shading_environment_components/heathaze
0x1fd2f9f4d48370bb,core/editor_slave/resources/level_resources/reflection_probe_radiance_bake
0xd4816de1d4771f1,core/animation/lua/runtime/animationflowcallbacks
0xee6b1ba7e22d71ed,rendering/renderer
0x2db72366e5f1726d,content/fac_illuminate/cha_outcast_beamer/cha_outcast_beamer
0xf266ab911bb37281,core/stingray_renderer/shading_environment_components/volumetric_clouds_dynamic
0xabed3586e397289,content/env_super_earth/military_base/super_earth_cache/super_earth_cache
0x3adbcbfaa8f772b7,content/planet_forest_swamp/assets/terrain_materials/textures_packed/swamp_wet_mud_albedo
0x5367951cd4da72d9,content/env_ship/hangar/cryo_chamber/cryo_chamber
0x313a646735c3743e,core/stingray_renderer/lookup_tables/noise
0xc0851e2c5725749f,core/stingray_renderer/lookup_tables/noise_3d
0x76a53cef336f74ee,content/art_shared/skydome/materials/aurora_01
0x32fc763994cf75a5,content/planet_desert_rocky/assets/terrain_materials/textures_packed/rocky_seaweed_albedo
0xc86bb9f1656175b1,content/planet_forest_moor/assets/terrain_materials/textures_packed/moor_field_grass_02_displacement
0x7645bff906957689,content/planet_forest_moor/assets/variation_arid/terrain_materials/texture_packed/moor_arid_pebbles_heavy_displacement
0x6b6b6c56122876bb,content/planet_forest_moor/assets/terrain_materials/textures_packed/moor_bogs_water_displacement
0x2d4d496b3c217767,content/env_shared_arctic/assets/terrain_materials/textures_packed/arctic_road_displacement
0xe79e610ec3a8776b,content/planet_forest_primordial/assets/terrain_materials/textures_packed/primordial_field_displacement
0xba922ea661677dd,content/planet_desert_savanna/assets/terrain_materials/textures_packed/savanna_bot_road_albedo
0x23b54e9e34797831,content/levels/ship_hub-cubemaps/reflection_probe_specular_bake
0x2b23e13f024a786a,core/stingray_renderer/shader_libraries/post_processing
0x953c4fdb8c2e7880,core/stingray_renderer/shading_environment_components/auto_exposure
0xf88d6f082fcd78bd,content/audio/haz_frozenflowers
0x5015467d918378bf,content/art_shared/textures/customization/material_library/detail_tilers/customization_detail_tiler_array
0xb4ca4c5b922f7965,content/fac_helldivers/discoverables/health_pack_discoverable_01/health_pack_discoverable_01
0xd58d68d01ec779d3,content/audio/obj_oil_pickup
0x10f1cd84d8fe7a2e,content/audio/foley_player_surface_media_glass
0xd58e2aa563e7ab8,content/audio/p18_redeemer
0x4b0d4dbf17687ae3,content/audio/obj_prospecting_drill
0x6c246392ca697b23,content/audio/obj_central_core_drill
0xb64401c1d0ed7b71,core/editor_slave/units/skydome/skydome
0x441efe711cd07bdb,content/env_shared/assets/terrain_materials/textures/neutral_illuminate_stone_albedo
0xff92d952f79b7c5b,content/audio/rev_gameplay
0x7ac318bfee7d7cea,content/env_shared_arctic/assets/weathering/arctic_weathering_albedo_graded
